Source Name	Material Type	Characteristics[CellType]	Characteristics[Organism]	Characteristics[Sex]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfCollection]	Unit[TimeUnit]
5036061LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036061LRA	P-MTAB-23069	5036061LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079021	A-AFFY-43	003017079021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	24	hour
5036062LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Low	8	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036062LRA	P-MTAB-23069	5036062LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079022	A-AFFY-43	003017079022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	24	hour
5036071LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036071LRA	P-MTAB-23069	5036071LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078024	A-AFFY-43	003017078024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	2	hour
5036072LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036072LRA	P-MTAB-23069	5036072LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078025	A-AFFY-43	003017078025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	2	hour
5036081LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036081LRA	P-MTAB-23069	5036081LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079015	A-AFFY-43	003017079015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	hour
5036082LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036082LRA	P-MTAB-23069	5036082LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079016	A-AFFY-43	003017079016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	hour
5036091LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036091LRA	P-MTAB-23069	5036091LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079023	A-AFFY-43	003017079023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	24	hour
5036092LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	Middle	40	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036092LRA	P-MTAB-23069	5036092LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079024	A-AFFY-43	003017079024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	24	hour
5036101LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036101LRA	P-MTAB-23069	5036101LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078026	A-AFFY-43	003017078026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	2	hour
5036102LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5036102LRA	P-MTAB-23069	5036102LRA	synthetic_RNA	biotin	P-MTAB-23070	3017078027	A-AFFY-43	003017078027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	2	hour
5036111LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036111LRA	P-MTAB-23069	5036111LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079017	A-AFFY-43	003017079017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	hour
5036112LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5036112LRA	P-MTAB-23069	5036112LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079018	A-AFFY-43	003017079018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	hour
5036121LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036121LRA	P-MTAB-23069	5036121LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079025	A-AFFY-43	003017079025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	24	hour
5036122LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	WY-14643	ChEMBL	CHEMBL295416	High	200	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5036122LRA	P-MTAB-23069	5036122LRA	synthetic_RNA	biotin	P-MTAB-23070	3017079026	A-AFFY-43	003017079026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	24	hour
5171011LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171011LRA	P-MTAB-23069	5171011LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337003	A-AFFY-43	003017337003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	2	hour
5171012LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171012LRA	P-MTAB-23069	5171012LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337004	A-AFFY-43	003017337004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	2	hour
5171021LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171021LRA	P-MTAB-23069	5171021LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337011	A-AFFY-43	003017337011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	8	hour
5171022LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171022LRA	P-MTAB-23069	5171022LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337012	A-AFFY-43	003017337012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	8	hour
5171031LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171031LRA	P-MTAB-23069	5171031LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337019	A-AFFY-43	003017337019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	24	hour
5171032LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171032LRA	P-MTAB-23069	5171032LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337020	A-AFFY-43	003017337020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	24	hour
5171041LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171041LRA	P-MTAB-23069	5171041LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337005	A-AFFY-43	003017337005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	2	hour
5171042LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171042LRA	P-MTAB-23069	5171042LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337006	A-AFFY-43	003017337006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	2	hour
5171051LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171051LRA	P-MTAB-23069	5171051LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337013	A-AFFY-43	003017337013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	8	hour
5171052LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171052LRA	P-MTAB-23069	5171052LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337014	A-AFFY-43	003017337014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	8	hour
5171061LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171061LRA	P-MTAB-23069	5171061LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337021	A-AFFY-43	003017337021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	24	hour
5171062LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Low	400	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171062LRA	P-MTAB-23069	5171062LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337022	A-AFFY-43	003017337022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Low	24	hour
5171071LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171071LRA	P-MTAB-23069	5171071LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337007	A-AFFY-43	003017337007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	2	hour
5171072LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171072LRA	P-MTAB-23069	5171072LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337008	A-AFFY-43	003017337008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	2	hour
5171081LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171081LRA	P-MTAB-23069	5171081LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337015	A-AFFY-43	003017337015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	8	hour
5171082LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171082LRA	P-MTAB-23069	5171082LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337016	A-AFFY-43	003017337016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	8	hour
5171091LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171091LRA	P-MTAB-23069	5171091LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337023	A-AFFY-43	003017337023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	24	hour
5171092LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171092LRA	P-MTAB-23069	5171092LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337024	A-AFFY-43	003017337024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	24	hour
5171101LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171101LRA	P-MTAB-23069	5171101LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337009	A-AFFY-43	003017337009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	2	hour
5171102LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5171102LRA	P-MTAB-23069	5171102LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337010	A-AFFY-43	003017337010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	2	hour
5171111LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171111LRA	P-MTAB-23069	5171111LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337017	A-AFFY-43	003017337017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	8	hour
5171112LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	8	hour	P-MTAB-23067	P-MTAB-23068	5171112LRA	P-MTAB-23069	5171112LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337018	A-AFFY-43	003017337018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	8	hour
5171121LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171121LRA	P-MTAB-23069	5171121LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337025	A-AFFY-43	003017337025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	24	hour
5171122LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	24	hour	P-MTAB-23067	P-MTAB-23068	5171122LRA	P-MTAB-23069	5171122LRA	synthetic_RNA	biotin	P-MTAB-23070	3017337026	A-AFFY-43	003017337026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	24	hour
5193011LRA	cell	hepatocyte	Rattus norvegicus	male	P-MTAB-23065	P-MTAB-23066	acetamidofluorene	ChEMBL	CHEMBL311469	Control	0	micromolar	2	hour	P-MTAB-23067	P-MTAB-23068	5193011LRA	P-MTAB-23069	5193011LRA	synthetic_RNA	biotin	P-MTAB-23070	3017362005	A-AFFY-43	003017362005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.1.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Control	2	hour
