Source Name	Material Type	Characteristics[Organism]	Characteristics[StrainOrLine]	Characteristics[Sex]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[DeliveryMethod]	Parameter Value[TimeOfSacrifice]	Unit[TimeUnit]	Protocol REF	Sample Name	Material Type	Characteristics[OrganismPart]	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfSacrifice]	Unit[TimeUnit]	Factor Value[OrganismPart]
182042	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182042LRB	organism_part	liver	P-MTAB-23029	0182042LRB	P-MTAB-23030	0182042LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708002	A-AFFY-43	003017708002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	29	day	liver
182043	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Control	0	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182043LRB	organism_part	liver	P-MTAB-23029	0182043LRB	P-MTAB-23030	0182043LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708003	A-AFFY-43	003017708003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Control	29	day	liver
182051	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182051LRC	organism_part	liver	P-MTAB-23029	0182051LRC	P-MTAB-23030	0182051LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709007	A-AFFY-43	003017709007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	4	day	liver
182052	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182052LRB	organism_part	liver	P-MTAB-23029	0182052LRB	P-MTAB-23030	0182052LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709008	A-AFFY-43	003017709008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	4	day	liver
182054	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182054LRB	organism_part	liver	P-MTAB-23029	0182054LRB	P-MTAB-23030	0182054LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709009	A-AFFY-43	003017709009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	4	day	liver
182062	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182062LRC	organism_part	liver	P-MTAB-23029	0182062LRC	P-MTAB-23030	0182062LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709019	A-AFFY-43	003017709019.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	day	liver
182064	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182064LRB	organism_part	liver	P-MTAB-23029	0182064LRB	P-MTAB-23030	0182064LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709020	A-AFFY-43	003017709020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	day	liver
182065	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182065LRB	organism_part	liver	P-MTAB-23029	0182065LRB	P-MTAB-23030	0182065LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709021	A-AFFY-43	003017709021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	8	day	liver
182072	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182072LRC	organism_part	liver	P-MTAB-23029	0182072LRC	P-MTAB-23030	0182072LRC	synthetic_RNA	biotin	P-MTAB-23031	3017707022	A-AFFY-43	003017707022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	15	day	liver
182074	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182074LRB	organism_part	liver	P-MTAB-23029	0182074LRB	P-MTAB-23030	0182074LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707023	A-AFFY-43	003017707023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	15	day	liver
182075	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182075LRB	organism_part	liver	P-MTAB-23029	0182075LRB	P-MTAB-23030	0182075LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707024	A-AFFY-43	003017707024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	15	day	liver
182082	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182082LRB	organism_part	liver	P-MTAB-23029	0182082LRB	P-MTAB-23030	0182082LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708004	A-AFFY-43	003017708004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	29	day	liver
182083	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182083LRB	organism_part	liver	P-MTAB-23029	0182083LRB	P-MTAB-23030	0182083LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708005	A-AFFY-43	003017708005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	29	day	liver
182085	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Low	10	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182085LRB	organism_part	liver	P-MTAB-23029	0182085LRB	P-MTAB-23030	0182085LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708006	A-AFFY-43	003017708006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	29	day	liver
182091	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182091LRC	organism_part	liver	P-MTAB-23029	0182091LRC	P-MTAB-23030	0182091LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709010	A-AFFY-43	003017709010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	4	day	liver
182092	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182092LRC	organism_part	liver	P-MTAB-23029	0182092LRC	P-MTAB-23030	0182092LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709011	A-AFFY-43	003017709011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	4	day	liver
182095	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182095LRC	organism_part	liver	P-MTAB-23029	0182095LRC	P-MTAB-23030	0182095LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709012	A-AFFY-43	003017709012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	4	day	liver
182101	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182101LRC	organism_part	liver	P-MTAB-23029	0182101LRC	P-MTAB-23030	0182101LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709022	A-AFFY-43	003017709022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	day	liver
182103	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182103LRC	organism_part	liver	P-MTAB-23029	0182103LRC	P-MTAB-23030	0182103LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709023	A-AFFY-43	003017709023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	day	liver
182105	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182105LRA	organism_part	liver	P-MTAB-23029	0182105LRA	P-MTAB-23030	0182105LRA	synthetic_RNA	biotin	P-MTAB-23031	3017709024	A-AFFY-43	003017709024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	day	liver
182111	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182111LRB	organism_part	liver	P-MTAB-23029	0182111LRB	P-MTAB-23030	0182111LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707025	A-AFFY-43	003017707025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	15	day	liver
182112	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182112LRB	organism_part	liver	P-MTAB-23029	0182112LRB	P-MTAB-23030	0182112LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707026	A-AFFY-43	003017707026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	15	day	liver
182113	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182113LRB	organism_part	liver	P-MTAB-23029	0182113LRB	P-MTAB-23030	0182113LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707027	A-AFFY-43	003017707027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	15	day	liver
182121	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182121LRB	organism_part	liver	P-MTAB-23029	0182121LRB	P-MTAB-23030	0182121LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708007	A-AFFY-43	003017708007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	29	day	liver
182122	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182122LRB	organism_part	liver	P-MTAB-23029	0182122LRB	P-MTAB-23030	0182122LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708008	A-AFFY-43	003017708008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	29	day	liver
182124	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	Middle	30	milligram per kilogram	Gavage	29	day	P-MTAB-23028	0182124LRB	organism_part	liver	P-MTAB-23029	0182124LRB	P-MTAB-23030	0182124LRB	synthetic_RNA	biotin	P-MTAB-23031	3017708009	A-AFFY-43	003017708009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	29	day	liver
182131	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182131LRB	organism_part	liver	P-MTAB-23029	0182131LRB	P-MTAB-23030	0182131LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709013	A-AFFY-43	003017709013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	4	day	liver
182133	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182133LRB	organism_part	liver	P-MTAB-23029	0182133LRB	P-MTAB-23030	0182133LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709014	A-AFFY-43	003017709014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	4	day	liver
182135	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	4	day	P-MTAB-23028	0182135LRB	organism_part	liver	P-MTAB-23029	0182135LRB	P-MTAB-23030	0182135LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709015	A-AFFY-43	003017709015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	4	day	liver
182141	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182141LRB	organism_part	liver	P-MTAB-23029	0182141LRB	P-MTAB-23030	0182141LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709025	A-AFFY-43	003017709025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	day	liver
182142	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182142LRC	organism_part	liver	P-MTAB-23029	0182142LRC	P-MTAB-23030	0182142LRC	synthetic_RNA	biotin	P-MTAB-23031	3017709026	A-AFFY-43	003017709026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	day	liver
182144	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	8	day	P-MTAB-23028	0182144LRB	organism_part	liver	P-MTAB-23029	0182144LRB	P-MTAB-23030	0182144LRB	synthetic_RNA	biotin	P-MTAB-23031	3017709027	A-AFFY-43	003017709027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	day	liver
182151	whole_organism	Rattus norvegicus	Crj:CD(SD)IGS	male	6	week	P-MTAB-23026	P-MTAB-23027	WY-14643	ChEMBL	CHEMBL295416	High	100	milligram per kilogram	Gavage	15	day	P-MTAB-23028	0182151LRB	organism_part	liver	P-MTAB-23029	0182151LRB	P-MTAB-23030	0182151LRB	synthetic_RNA	biotin	P-MTAB-23031	3017707028	A-AFFY-43	003017707028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-800/E-MTAB-800.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	15	day	liver
