Source Name	Material Type	Characteristics[CellType]	Characteristics[Organism]	Characteristics[Sex]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfCollection]	Unit[TimeUnit]
5095061LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095061LRA	P-MTAB-23090	5095061LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024013	A-AFFY-44	003016024013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	24	hour
5095062LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Low	6	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095062LRA	P-MTAB-23090	5095062LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024014	A-AFFY-44	003016024014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Low	24	hour
5095071LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095071LRA	P-MTAB-23090	5095071LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023029	A-AFFY-44	003016023029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	2	hour
5095072LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095072LRA	P-MTAB-23090	5095072LRA	synthetic_RNA	biotin	P-MTAB-23091	3016023030	A-AFFY-44	003016023030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	2	hour
5095081LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095081LRA	P-MTAB-23090	5095081LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024007	A-AFFY-44	003016024007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	hour
5095082LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095082LRA	P-MTAB-23090	5095082LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024008	A-AFFY-44	003016024008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	8	hour
5095091LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095091LRA	P-MTAB-23090	5095091LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024015	A-AFFY-44	003016024015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	24	hour
5095092LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	Middle	30	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095092LRA	P-MTAB-23090	5095092LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024016	A-AFFY-44	003016024016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	Middle	24	hour
5095101LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095101LRA	P-MTAB-23090	5095101LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024001	A-AFFY-44	003016024001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	2	hour
5095102LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5095102LRA	P-MTAB-23090	5095102LRA	synthetic_RNA	biotin	P-MTAB-23091	3016048017	A-AFFY-44	003016048017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	2	hour
5095111LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095111LRA	P-MTAB-23090	5095111LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024009	A-AFFY-44	003016024009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	hour
5095112LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5095112LRA	P-MTAB-23090	5095112LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024010	A-AFFY-44	003016024010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	8	hour
5095121LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095121LRA	P-MTAB-23090	5095121LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024017	A-AFFY-44	003016024017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	24	hour
5095122LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	WY-14643	ChEMBL	CHEMBL295416	High	150	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5095122LRA	P-MTAB-23090	5095122LRA	synthetic_RNA	biotin	P-MTAB-23091	3016024018	A-AFFY-44	003016024018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	WY-14643	ChEMBL	CHEMBL295416	High	24	hour
5265012LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265012LRA	P-MTAB-23090	5265012LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078008	A-AFFY-44	003016078008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	8	hour
5265011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265011LRA	P-MTAB-23090	5265011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016079016	A-AFFY-44	003016079016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	8	hour
5265021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265021LRA	P-MTAB-23090	5265021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078013	A-AFFY-44	003016078013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	24	hour
5265022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265022LRA	P-MTAB-23090	5265022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078014	A-AFFY-44	003016078014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Control	24	hour
5265031LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265031LRA	P-MTAB-23090	5265031LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078009	A-AFFY-44	003016078009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	8	hour
5265032LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265032LRA	P-MTAB-23090	5265032LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078010	A-AFFY-44	003016078010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	8	hour
5265042LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265042LRA	P-MTAB-23090	5265042LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078016	A-AFFY-44	003016078016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	24	hour
5265041LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	Middle	2000	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265041LRA	P-MTAB-23090	5265041LRA	synthetic_RNA	biotin	P-MTAB-23091	3016079018	A-AFFY-44	003016079018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	Middle	24	hour
5265051LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265051LRA	P-MTAB-23090	5265051LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078011	A-AFFY-44	003016078011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	8	hour
5265052LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5265052LRA	P-MTAB-23090	5265052LRA	synthetic_RNA	biotin	P-MTAB-23091	3016079017	A-AFFY-44	003016079017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	8	hour
5265061LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265061LRA	P-MTAB-23090	5265061LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078017	A-AFFY-44	003016078017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	24	hour
5265062LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acarbose	ChEMBL	CHEMBL1566	High	10000	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5265062LRA	P-MTAB-23090	5265062LRA	synthetic_RNA	biotin	P-MTAB-23091	3016078018	A-AFFY-44	003016078018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acarbose	ChEMBL	CHEMBL1566	High	24	hour
5275011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275011LRA	P-MTAB-23090	5275011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016082026	A-AFFY-44	003016082026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Control	8	hour
5275012LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275012LRA	P-MTAB-23090	5275012LRA	synthetic_RNA	biotin	P-MTAB-23091	3016082027	A-AFFY-44	003016082027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Control	8	hour
5275021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275021LRA	P-MTAB-23090	5275021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083002	A-AFFY-44	003016083002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.1.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Control	24	hour
5275022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275022LRA	P-MTAB-23090	5275022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083003	A-AFFY-44	003016083003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Control	24	hour
5275031LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	10	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275031LRA	P-MTAB-23090	5275031LRA	synthetic_RNA	biotin	P-MTAB-23091	3016082028	A-AFFY-44	003016082028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	8	hour
5275032LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	10	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275032LRA	P-MTAB-23090	5275032LRA	synthetic_RNA	biotin	P-MTAB-23091	3016082029	A-AFFY-44	003016082029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	8	hour
5275041LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	10	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275041LRA	P-MTAB-23090	5275041LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083004	A-AFFY-44	003016083004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	24	hour
5275042LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	10	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275042LRA	P-MTAB-23090	5275042LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083005	A-AFFY-44	003016083005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	Middle	24	hour
5275051LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	High	50	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275051LRA	P-MTAB-23090	5275051LRA	synthetic_RNA	biotin	P-MTAB-23091	3016082030	A-AFFY-44	003016082030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	High	8	hour
5275052LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	High	50	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5275052LRA	P-MTAB-23090	5275052LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083001	A-AFFY-44	003016083001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	High	8	hour
5275061LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	High	50	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275061LRA	P-MTAB-23090	5275061LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083006	A-AFFY-44	003016083006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	High	24	hour
5275062LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetamidofluorene	ChEMBL	CHEMBL311469	High	50	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5275062LRA	P-MTAB-23090	5275062LRA	synthetic_RNA	biotin	P-MTAB-23091	3016083007	A-AFFY-44	003016083007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetamidofluorene	ChEMBL	CHEMBL311469	High	24	hour
5066011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	acetaminophen	ChEMBL	CHEMBL112	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5066011LRA	P-MTAB-23090	5066011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016016001	A-AFFY-44	003016016001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	acetaminophen	ChEMBL	CHEMBL112	Control	2	hour
